Timestamp,Redemption Count,Sales Count,Date,Year,Month,Hour,Minute,Day_of_Week_Num,Day_of_Week,Is_Weekend,Is_Off_Season,Net_Queue_Change
2015-05-06 20:15:00,0,8,2015-05-06,2015,5,20,15,2,Wednesday,0,0,8
2015-05-06 20:30:00,3,0,2015-05-06,2015,5,20,30,2,Wednesday,0,0,-3
2015-05-06 20:45:00,11,1,2015-05-06,2015,5,20,45,2,Wednesday,0,0,-10
2015-05-06 21:15:00,0,2,2015-05-06,2015,5,21,15,2,Wednesday,0,0,2
2015-05-06 21:30:00,3,14,2015-05-06,2015,5,21,30,2,Wednesday,0,0,11
2015-05-06 21:45:00,7,0,2015-05-06,2015,5,21,45,2,Wednesday,0,0,-7
2015-05-06 22:00:00,0,1,2015-05-06,2015,5,22,0,2,Wednesday,0,0,1
2015-05-06 22:15:00,0,4,2015-05-06,2015,5,22,15,2,Wednesday,0,0,4
2015-05-06 22:30:00,8,3,2015-05-06,2015,5,22,30,2,Wednesday,0,0,-5
2015-05-07 07:45:00,0,4,2015-05-07,2015,5,7,45,3,Thursday,0,0,4
2015-05-07 08:00:00,0,16,2015-05-07,2015,5,8,0,3,Thursday,0,0,16
2015-05-07 08:15:00,0,2,2015-05-07,2015,5,8,15,3,Thursday,0,0,2
2015-05-07 08:30:00,3,3,2015-05-07,2015,5,8,30,3,Thursday,0,0,0
2015-05-07 08:45:00,0,5,2015-05-07,2015,5,8,45,3,Thursday,0,0,5
2015-05-07 09:00:00,0,11,2015-05-07,2015,5,9,0,3,Thursday,0,0,11
2015-05-07 09:15:00,12,34,2015-05-07,2015,5,9,15,3,Thursday,0,0,22
2015-05-07 09:30:00,3,10,2015-05-07,2015,5,9,30,3,Thursday,0,0,7
2015-05-07 09:45:00,0,1,2015-05-07,2015,5,9,45,3,Thursday,0,0,1
2015-05-07 10:00:00,0,21,2015-05-07,2015,5,10,0,3,Thursday,0,0,21
2015-05-07 10:15:00,0,6,2015-05-07,2015,5,10,15,3,Thursday,0,0,6
2015-05-07 10:30:00,0,33,2015-05-07,2015,5,10,30,3,Thursday,0,0,33
2015-05-07 10:45:00,6,107,2015-05-07,2015,5,10,45,3,Thursday,0,0,101
2015-05-07 11:00:00,0,61,2015-05-07,2015,5,11,0,3,Thursday,0,0,61
2015-05-07 11:15:00,149,48,2015-05-07,2015,5,11,15,3,Thursday,0,0,-101
2015-05-07 11:30:00,29,69,2015-05-07,2015,5,11,30,3,Thursday,0,0,40
2015-05-07 11:45:00,0,108,2015-05-07,2015,5,11,45,3,Thursday,0,0,108
2015-05-07 12:00:00,114,85,2015-05-07,2015,5,12,0,3,Thursday,0,0,-29
2015-05-07 12:15:00,0,16,2015-05-07,2015,5,12,15,3,Thursday,0,0,16
2015-05-07 12:30:00,0,33,2015-05-07,2015,5,12,30,3,Thursday,0,0,33
2015-05-07 12:45:00,52,60,2015-05-07,2015,5,12,45,3,Thursday,0,0,8
2015-05-07 13:00:00,0,48,2015-05-07,2015,5,13,0,3,Thursday,0,0,48
2015-05-07 13:15:00,66,94,2015-05-07,2015,5,13,15,3,Thursday,0,0,28
2015-05-07 13:30:00,0,33,2015-05-07,2015,5,13,30,3,Thursday,0,0,33
2015-05-07 13:45:00,0,53,2015-05-07,2015,5,13,45,3,Thursday,0,0,53
2015-05-07 14:00:00,48,64,2015-05-07,2015,5,14,0,3,Thursday,0,0,16
2015-05-07 14:15:00,0,124,2015-05-07,2015,5,14,15,3,Thursday,0,0,124
2015-05-07 14:30:00,0,103,2015-05-07,2015,5,14,30,3,Thursday,0,0,103
2015-05-07 14:45:00,48,67,2015-05-07,2015,5,14,45,3,Thursday,0,0,19
2015-05-07 15:00:00,126,54,2015-05-07,2015,5,15,0,3,Thursday,0,0,-72
2015-05-07 15:15:00,63,59,2015-05-07,2015,5,15,15,3,Thursday,0,0,-4
2015-05-07 15:30:00,116,51,2015-05-07,2015,5,15,30,3,Thursday,0,0,-65
2015-05-07 15:45:00,5,60,2015-05-07,2015,5,15,45,3,Thursday,0,0,55
2015-05-07 16:00:00,0,68,2015-05-07,2015,5,16,0,3,Thursday,0,0,68
2015-05-07 16:15:00,83,29,2015-05-07,2015,5,16,15,3,Thursday,0,0,-54
2015-05-07 16:30:00,52,24,2015-05-07,2015,5,16,30,3,Thursday,0,0,-28
2015-05-07 16:45:00,0,34,2015-05-07,2015,5,16,45,3,Thursday,0,0,34
2015-05-07 17:00:00,94,33,2015-05-07,2015,5,17,0,3,Thursday,0,0,-61
2015-05-07 17:15:00,0,15,2015-05-07,2015,5,17,15,3,Thursday,0,0,15
2015-05-07 17:30:00,0,76,2015-05-07,2015,5,17,30,3,Thursday,0,0,76
2015-05-07 17:45:00,64,58,2015-05-07,2015,5,17,45,3,Thursday,0,0,-6
2015-05-07 18:00:00,19,29,2015-05-07,2015,5,18,0,3,Thursday,0,0,10
2015-05-07 18:15:00,0,54,2015-05-07,2015,5,18,15,3,Thursday,0,0,54
2015-05-07 18:30:00,38,16,2015-05-07,2015,5,18,30,3,Thursday,0,0,-22
2015-05-07 18:45:00,39,9,2015-05-07,2015,5,18,45,3,Thursday,0,0,-30
2015-05-07 19:00:00,0,13,2015-05-07,2015,5,19,0,3,Thursday,0,0,13
2015-05-07 19:15:00,0,27,2015-05-07,2015,5,19,15,3,Thursday,0,0,27
2015-05-07 19:30:00,65,6,2015-05-07,2015,5,19,30,3,Thursday,0,0,-59
2015-05-07 19:45:00,0,5,2015-05-07,2015,5,19,45,3,Thursday,0,0,5
2015-05-07 20:00:00,0,7,2015-05-07,2015,5,20,0,3,Thursday,0,0,7
2015-05-07 20:15:00,0,58,2015-05-07,2015,5,20,15,3,Thursday,0,0,58
2015-05-07 20:30:00,0,28,2015-05-07,2015,5,20,30,3,Thursday,0,0,28
2015-05-07 20:45:00,1,0,2015-05-07,2015,5,20,45,3,Thursday,0,0,-1
2015-05-07 21:00:00,29,0,2015-05-07,2015,5,21,0,3,Thursday,0,0,-29
2015-05-07 21:15:00,0,6,2015-05-07,2015,5,21,15,3,Thursday,0,0,6
2015-05-07 21:30:00,0,9,2015-05-07,2015,5,21,30,3,Thursday,0,0,9
2015-05-07 22:00:00,15,11,2015-05-07,2015,5,22,0,3,Thursday,0,0,-4
2015-05-07 22:15:00,0,2,2015-05-07,2015,5,22,15,3,Thursday,0,0,2
2015-05-07 22:30:00,0,10,2015-05-07,2015,5,22,30,3,Thursday,0,0,10
2015-05-07 22:45:00,4,0,2015-05-07,2015,5,22,45,3,Thursday,0,0,-4
2015-05-08 07:30:00,0,2,2015-05-08,2015,5,7,30,4,Friday,0,0,2
2015-05-08 07:45:00,3,11,2015-05-08,2015,5,7,45,4,Friday,0,0,8
